symbol,Total Asset,Total Liabilities,Paid-up Cap,Equity,Revenue,Expenses,EBITDA,EBIT,Net Profit,EPS,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Net Cash Flow,Return on Equity,Return on Asset,Gross Profit Margin,Net Profit Margin,EBIT Margin,D/E,Int. Coverage,Current Ratio,Quick Ratio,Fixed Asset,Total Asset.1,Inventory Turnover,Average Sale Period,Accounts Receivable Turnover,Average Collection Period,Account Payable Turnover,Average Payment Period,Cash Cycle,result
JAK,662787.13,237339.04,320000,425448.09,172035.31,164715.13,21299.09,18128.47,11815.25,0.04,-33332.27,3810.83,42217.86,12696.42,3.21,2.87,23.9,6.87,10.54,0.56,2.73,2.41,0.12,7.81,0.27,0.42,878.99,163.23,2.24,9.73,37.5,843.72,0
JCKH,1196160.31,1182075.25,329340.68,14085.06,443593.71,748571.72,-93064.55,-304978.01,-340027.07,-0.35,-31870.28,-140062,175872.73,3940.45,-1223.82,-27.12,47.46,-76.65,-68.75,83.92,-8.19,0.19,0.09,0.68,0.39,4.45,81.94,8.19,44.55,0.82,442.57,-316.08,1
JSP,1260636.81,294211.4,227500,966425.41,429126.36,380828.63,70522.63,48297.72,29691.12,0.08,51721.64,-58263.77,629954.52,623412.39,5.11,5.54,34.18,6.92,11.25,0.3,4.44,7.19,5.71,1.4,0.49,2.97,123.01,11.32,32.26,7.92,46.06,109.2,0
JUBILE,2098125.61,766046.86,174273.13,1332078.75,1539941.19,1250812.17,377224.39,289129.03,225247.85,1.29,398934.13,-242672.63,-160850.5,-4589,17.72,13.85,47.11,14.63,18.78,0.58,66.29,3.26,2.11,7.49,0.74,1.3,281.22,11.12,32.83,2.15,169.72,144.33,0
K,854125.83,653360.98,179999.77,200764.85,786492.89,817123.27,-9007.65,-30630.38,-42792.36,-0.12,-50813.47,-784.37,49020.94,-2576.89,-22.44,-3.74,7.89,-5.44,-3.89,3.25,-2.47,0.93,0.47,5.8,0.96,138.34,2.64,6.35,57.52,2.7,135.02,-74.87,0
KASET,670038.3,433606.34,278000,236431.96,537682.77,605749.66,-38807.29,-68066.89,-69010.5,-0.25,-38880.9,-45388.04,78115.55,-6153.4,-25.71,-10.49,15.23,-12.83,-12.66,1.83,-15.45,0.9,0.61,2.18,0.83,2.94,124.24,3.21,113.81,5.49,66.52,171.53,1
KCM,636829.11,192907.98,170000,443919.03,439841.74,438578.17,26065.68,1263.57,-4880.6,-0.01,27395.18,-34961.59,14603.29,7036.89,-1.09,0.2,21.02,-1.11,0.29,0.43,0.27,1.19,0.33,2.55,0.7,2.98,122.56,8.73,41.79,9.97,36.61,127.74,1
KGEN,950957.91,333998.31,1124417.3,616661.12,498323.29,572982.98,19757.19,-74659.69,-103774.4,-0.09,-48746.14,-138741.4,42140.19,-145347.35,-15.52,-7.47,-19.29,-24.71,-14.98,0.54,-6.71,1.33,1.02,3.57,0.5,42.15,8.66,4.27,85.45,7.23,50.47,43.64,1
KK,383560.03,209237.59,115000,174322.44,1007762.74,971881.38,53170.91,35881.36,26439.04,0.11,25611.75,-9075.65,-13715.07,2821.03,16.07,9.56,13.17,2.62,3.56,1.2,11.39,1.41,0.36,7.02,2.69,5.66,64.45,63.55,5.74,7.16,50.99,19.21,0
KOOL,630255.51,228126.05,214250,402129.46,545631.84,558283.15,7489.68,-12651.31,-21371.41,-0.03,-10334.59,-119456.96,167183.89,37392.34,-7.21,-2.19,21.5,-3.92,-2.32,0.57,-1.51,1.76,0.75,10.63,0.95,1.86,196.36,6.03,60.57,6.21,58.8,198.13,0
KUMWEL,690626.01,174058.29,215000,516567.72,471303.79,398751.46,92410.26,72552.33,57702.48,0.13,35398.74,-35598.39,3226.35,3026.7,11.36,11.12,42.95,12.24,15.39,0.34,20.82,5.04,2.51,2.04,0.72,1.52,240.86,3.73,97.99,7.49,48.76,290.09,0
